date,title,amount
2026-07-30,Flexx Iguatemi,"100,00"
2026-07-30,Mercado Economico,"21,96"
2026-07-27,The Best,"33,34"
2026-07-26,Flexx Iguatemi,"50,00"
2026-07-26,Subway,"115,50"
2026-07-24,Burger King,"18,90"
2026-07-23,Farm Brasilia,"100,50"
2026-07-23,Posto Apromam,"50,00"
2026-07-23,Shopee *Shopborges - Parcela 1/6,"19,39"
2026-07-23,Mtd*Amorsaude Maringa,"30,00"
2026-07-22,Flexx Iguatemi,"50,00"
2026-07-20,Supermercado Bom Dia P,"38,07"
2026-07-19,Totalpass,"119,90"
2026-07-19,Flexx Iguatemi,"50,00"
2026-07-18,Ifd*O Conde,"116,70"
2026-07-18,Posto Piloto Mandacaru,"48,99"
2026-07-17,iFood - NuPay,"20,89"
2026-07-17,Panificadora Tikas,"7,00"
2026-07-17,Stop Car,"30,00"
2026-07-15,Pag*Steam - Parcela 1/3,"6,07"
2026-07-15,A Aparecido de Araujo,"160,00"
2026-07-14,Google Youtube Music,"34,90"
2026-07-13,Burger King Londrina,"60,80"
2026-07-13,Posto Cpa,"180,08"
2026-07-13,Pflpetiscose,"22,00"
2026-07-11,Unicesumar,"334,71"
2026-07-10,Pagamento recebido,"- 3.887,13"
2026-07-10,Juros por fatura atrasada,"18,93"
2026-07-10,Multa por fatura atrasada,"74,16"
2026-07-10,IOF por fatura atrasada,"14,39"
2026-07-10,IOF Complementar por renegociação,"1,48"
2026-07-10,Valor pendente do mês anterior (rotativo),"497,52"
2026-07-10,IOF de atraso do Pix no crédito para Montfer,"0,03"
2026-07-10,Multa de atraso do Pix no crédito para Montfer,"8,43"
2026-07-10,Juros de atraso do Pix no crédito para Montfer,"0,79"
2026-07-10,Juros de atraso do Pix no crédito para LA FIORE DECORACOES E COMERCIO DE FLORES LTDA - 1/4,"0,12"
2026-07-10,IOF de atraso do Pix no crédito para LA FIORE DECORACOES E COMERCIO DE FLORES LTDA - 1/4,"0,00"
2026-07-10,Multa de atraso do Pix no crédito para LA FIORE DECORACOES E COMERCIO DE FLORES LTDA - 1/4,"1,36"
2026-07-10,IOF de atraso do Pix no crédito para 40.802.730 EDUARDO PESSUTTO - 1/4,"0,00"
2026-07-10,Multa de atraso do Pix no crédito para 40.802.730 EDUARDO PESSUTTO - 1/4,"0,28"
2026-07-10,Juros de atraso do Pix no crédito para 40.802.730 EDUARDO PESSUTTO - 1/4,"0,02"
2026-07-10,IOF por fatura atrasada - Boleto no crédito,"0,01"
2026-07-10,Multa por fatura atrasada - Boleto no crédito,"3,72"
2026-07-10,Juros por fatura atrasada - Boleto no crédito,"0,35"
2026-07-10,Pix no Crédito - Amanda Alves Calixto - 1/3,"45,38"
2026-07-10,Pix no Crédito - Ricardo Franzao - 1/3,"67,80"
2026-07-10,Claro P*Fatura Claro,"41,89"
2026-07-10,PRIME GESTAO,"185,65"
2026-07-09,Valor pendente do mês anterior,"3.694,17"
2026-07-08,Posto Apromam,"154,43"
2026-07-08,Apple.Com/Bill,"3,50"
2026-07-07,Rodosnack Estrela da D,"232,00"
2026-07-07,Pandurata Varejo de A - Parcela 1/2,"63,88"
2026-07-07,Frango Assado Posto Ta,"324,32"
2026-07-07,Restaurante Paizao,"87,50"
2026-07-07,Goldmen Express Campos - Parcela 1/5,"162,84"
2026-07-07,Novo Posto Tucuman,"272,55"
2026-07-07,Posto Graffiti,"292,02"
2026-07-06,Shopee *Vaoliveira956 - Parcela 1/4,"25,91"
2026-07-05,Kiosque Fazenda,"196,90"
2026-07-04,Indigo,"19,00"
2026-07-04,Buteco Rufino,"131,80"
2026-07-04,Auto Posto Gigante D,"196,78"
2026-07-03,Caue de Bulhoes Coelho,"108,90"
2026-07-03,Airbnb * Hm9qke5822 - Parcela 1/6,"52,25"
2026-07-03,Gelateria Miracolo,"22,00"
2026-07-03,Auto Posto Nova Era Ca,"232,63"
2026-07-03,Ilha Rasa Paraty,"155,10"
2026-07-03,Gelateria Miracolo,"66,00"
2026-07-02,Airbnb * Hmb932zjx9 - Parcela 2/6,"64,66"
2026-07-02,Pix no Crédito - 40.802.730 EDUARDO PESSUTTO - 2/4,"14,00"
2026-07-02,Shopee*Shopee*Lojaamor - Parcela 11/12,"9,70"
2026-07-02,Autoeletrica Lopes - Parcela 2/2,"125,00"
2026-07-02,059 - Pr Maringa Catua - Parcela 3/3,"106,66"
2026-07-02,Mercado*Mercadolivre - Parcela 9/11,"50,81"
2026-07-02,Goncales Pneus - Parcela 10/12,"188,33"
2026-07-02,Pix no Crédito - LA FIORE DECORACOES E COMERCIO DE FLORES LTDA - 2/4,"68,13"
2026-07-02,Ebn *Playstation - Parcela 2/4,"17,49"
2026-07-02,Pag*Steam - Parcela 3/12,"12,38"
2026-07-02,Hard Urban Store - Parcela 3/6,"101,65"
2026-07-02,Airbnb * Hmmxm848t9 - Parcela 2/6,"70,18"
2026-07-02,Planeta Jeans - Parcela 3/5,"51,99"
2026-07-02,Pag*Steam - Parcela 2/3,"11,68"
2026-07-02,Wj City Center - Parcela 4/9,"51,66"
